# Name | website (blank = look up) | tier/notes
Marocaine | | Jordaan
Restaurant Meyer | | fine dining
Alba | | natuurwijn
Roef | | Oost
KAIA | | Oud-Zuid, Grieks
Yuzu Dining Bar | | Kerkstraat
R21 | | Peperstraat
Wils | | Stadionplein, ster
Hatsune | | Zuid, Japans
Bar Gallizia | | Jordaan
Locals | | Oost
Café Kiebert | | Zuid
Pastis | | Oud-West
Mr. Porter | | Centrum, steak
Chez Nina | | West
Café Restaurant Amsterdam | https://cradam.nl | dup of Cradam
